[27/03/2015 - 23:54:40] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Mateus_Bullock para +20 minutos, Motivo: '-'
[28/03/2015 - 00:29:29] - AdmCmd: O admin asas_urubu ajustou a cadeia de Cidadao_DeBem para +15 minutos, Motivo: An Indevidos + que Avisado.
[28/03/2015 - 10:05:36] - AdmCmd: O admin Saymon_Felipe prendeu Cidadao_DeBem por 0 minutos, Motivo: AP - Bom jogo
[28/03/2015 - 12:09:20] - AdmCmd: O admin Saymon_Felipe prendeu MidoriT_Yoshida por 0 minutos, Motivo: AP - COP ANT RPGt
[28/03/2015 - 13:04:18] - AdmCmd: O admin Saymon_Felipe prendeu Mito_killer por 0 minutos, Motivo: AP -
[28/03/2015 - 13:08:06] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de Leonardo_Sl para +10 minutos, Motivo: db 
[28/03/2015 - 13:11:12] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de Leonardo_Sl para -99 minutos, Motivo: ap a proxima ja sabe
[28/03/2015 - 13:55:02] - AdmCmd: O admin Saymon_Felipe prendeu Azeredo_Volt por 5 minutos, Motivo: AP - Bom jogo
[28/03/2015 - 14:28:33] - AdmCmd: O admin Johny_Staff ajustou a cadeia de CM_KalebeRX para +5 minutos, Motivo: GOV INDV
[28/03/2015 - 14:29:20] - AdmCmd: O admin Johny_Staff prendeu CM_KalebeRX por 0 minutos, Motivo: Sorry Ajuste !
[28/03/2015 - 15:12:04] - AdmCmd: O admin Saymon_Felipe ajustou a cadeia de Souza_GT para +5 minutos, Motivo: An Indevido
[28/03/2015 - 15:12:13] - AdmCmd: O admin Saymon_Felipe ajustou a cadeia de Matador_DNovinho para +5 minutos, Motivo: Ang Indevido.
[28/03/2015 - 15:12:28] - AdmCmd: O admin Saymon_Felipe prendeu Lactea_ShiFt por 0 minutos, Motivo: Bom Jogo
[28/03/2015 - 15:12:56] - AdmCmd: O admin Saymon_Felipe prendeu Lactea_ShiFt por 0 minutos, Motivo: .
[28/03/2015 - 15:25:07] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Zero_hunter para +5 minutos, Motivo: GOV INDV
[28/03/2015 - 15:28:21] - AdmCmd: O admin Aleister_Crowley prendeu Pantera_ShiFt por 0 minutos, Motivo: 0 preso em guerra morro
[28/03/2015 - 16:25:01] - AdmCmd: O admin Johny_Staff ajustou a cadeia de DragoN_LorD para +10 minutos, Motivo: RESPEITO
[28/03/2015 - 16:25:45] - AdmCmd: O admin Saymon_Felipe ajustou a cadeia de Zero_hunter para +5 minutos, Motivo: Gov indevido
[28/03/2015 - 16:30:15] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de DragoN_LorD para -99 minutos, Motivo: ap 
[28/03/2015 - 16:30:18] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de Zero_hunter para -99 minutos, Motivo: ap 
[28/03/2015 - 18:40:40] - AdmCmd: O admin Johny_Staff prendeu TroniC_ShiFt por 0 minutos, Motivo: Ajuste
[28/03/2015 - 19:19:27] - AdmCmd: O admin Saymon_Felipe prendeu Pantera_ShiFt por 5 minutos, Motivo: AP - Cumpra..
[28/03/2015 - 20:43:01] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Cpt_JhonatanPM para +10 minutos, Motivo: Invadindo sem /gov ou /m
[28/03/2015 - 20:59:46] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de SD_HebertEB para +20 minutos, Motivo: snipando festa
[28/03/2015 - 20:59:52] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de SD_JuniorEB para +20 minutos, Motivo: snipando festa
[28/03/2015 - 21:00:00] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de Pantera_ShiFt para -99 minutos, Motivo: ap
[28/03/2015 - 21:00:25] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de Lactea_ShiFt para -99 minutos, Motivo: ap 
[28/03/2015 - 21:05:27] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de SD_HebertEB para -99 minutos, Motivo: ap.. 
[28/03/2015 - 21:05:30] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de SD_JuniorEB para -99 minutos, Motivo: ap.. 
[28/03/2015 - 21:10:02] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de Cpt_JhonatanPM para -99 minutos, Motivo: ..
[28/03/2015 - 21:11:26] - AdmCmd: O admin Johny_Staff ajustou a cadeia de TEN_FelixPM para +5 minutos, Motivo: GOV INDV
[28/03/2015 - 21:49:57] - AdmCmd: O admin Saymon_Felipe prendeu Pantera_ShiFt por 0 minutos, Motivo: Ap - Invasao do Cop
[28/03/2015 - 22:47:30] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de Whanky_Starkey para -99 minutos, Motivo: bug 
[29/03/2015 - 01:06:15] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de Whanky_Starkey para -99 minutos, Motivo: ap 
[29/03/2015 - 09:55:27] - AdmCmd: O admin Saymon_Felipe prendeu Daniel_Master2 por 0 minutos, Motivo: Ajudando atender.
[29/03/2015 - 09:58:06] - AdmCmd: O admin Saymon_Felipe prendeu Cachorrera_Starkey por 0 minutos, Motivo: Estava em Atendimento
[29/03/2015 - 10:01:25] - AdmCmd: O admin Saymon_Felipe prendeu wk_ShiFt por 0 minutos, Motivo: Atendimento /par
[29/03/2015 - 10:19:30] - AdmCmd: O admin Saymon_Felipe prendeu Monkey_Grau por 0 minutos, Motivo: .
[29/03/2015 - 10:38:29] - AdmCmd: O admin Daniel_Master2 ajustou a cadeia de TenCel_WiliamBOPE para +0 minutos, Motivo: Bugado.
[29/03/2015 - 10:43:39] - AdmCmd: O admin Daniel_Master2 ajustou a cadeia de Cidadao_DeBem para +6 minutos, Motivo: Ajuste
[29/03/2015 - 10:45:15] - AdmCmd: O admin Daniel_Master2 prendeu Cidadao_DeBem por 6 minutos, Motivo: -
[29/03/2015 - 10:53:12] - AdmCmd: O admin Daniel_Master2 prendeu Whanky_Starkey por 6 minutos, Motivo: Ajuste
[29/03/2015 - 11:27:23] - AdmCmd: O admin Daniel_Master2 ajustou a cadeia de wk_ShiFt para +5 minutos, Motivo: DM
[29/03/2015 - 11:29:49] - AdmCmd: O admin Daniel_Master2 prendeu wk_ShiFt por 0 minutos, Motivo: Proxima Fica 
[29/03/2015 - 11:52:04] - AdmCmd: O admin Saymon_Felipe ajustou a cadeia de SubCmd_ZeusBOPE para +5 minutos, Motivo: DM
[29/03/2015 - 11:53:42] - AdmCmd: O admin Saymon_Felipe prendeu SubCmd_ZeusBOPE por 0 minutos, Motivo: ...
[29/03/2015 - 12:05:50] - AdmCmd: O admin Saymon_Felipe ajustou a cadeia de SD_MottaEB para +0 minutos, Motivo: bug.
[29/03/2015 - 12:19:05] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de SubCmd_RafaelBOPE para -99 minutos, Motivo: ap 
[29/03/2015 - 12:19:13] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de Terr0r_Vilhena para -99 minutos, Motivo: ap 
[29/03/2015 - 12:56:12] - AdmCmd: O admin Terr0r_Vilhena ajustou a cadeia de TroniC_AbsoluT para -99 minutos, Motivo: preso evento
[29/03/2015 - 12:56:25] - AdmCmd: O admin Saymon_Felipe prendeu TroniC_AbsoluT por 0 minutos, Motivo: .
[29/03/2015 - 12:57:20] - AdmCmd: O admin Saymon_Felipe prendeu TroniC_AbsoluT por 0 minutos, Motivo: ...
[29/03/2015 - 13:03:48] - AdmCmd: O admin Saymon_Felipe prendeu Cachorrera_Starkey por 0 minutos, Motivo: .
[29/03/2015 - 13:31:45] - AdmCmd: O admin Aleister_Crowley prendeu pH_ShiFt por 0 minutos, Motivo: abuso de rt
[29/03/2015 - 13:31:48] - AdmCmd: O admin Aleister_Crowley prendeu Daniel_Owna por 0 minutos, Motivo: abuso de rt
[29/03/2015 - 13:31:51] - AdmCmd: O admin Aleister_Crowley prendeu Pantera_ShiFt por 0 minutos, Motivo: abuso de rt
[29/03/2015 - 13:31:53] - AdmCmd: O admin Aleister_Crowley prendeu DreZerT_ShiFt por 0 minutos, Motivo: abuso de rt
[29/03/2015 - 13:38:56] - AdmCmd: O admin Saymon_Felipe ajustou a cadeia de ObEY_Headshot para +20 minutos, Motivo: Hunter - Avisado!
[29/03/2015 - 13:39:29] - AdmCmd: O admin Saymon_Felipe prendeu Cachorrera_Starkey por 0 minutos, Motivo: Treino
[29/03/2015 - 13:45:00] - AdmCmd: O admin Aleister_Crowley prendeu ObEY_Headshot por 0 minutos, Motivo: se fizer dnv vai ficar ai 2 horas
